name,row,column,expected_r,expected_g,expected_b,observed_r,observed_g,observed_b
bar_white,0,0,255,255,255,69,158,210
bar_yellow,0,1,255,255,0,94,131,25
bar_cyan,0,2,0,255,255,0,158,224
bar_green,0,3,0,255,0,0,125,29
bar_magenta,0,4,255,0,255,107,101,223
bar_red,0,5,255,0,0,127,0,0
bar_blue,0,6,0,0,255,0,87,229
bar_black,0,7,0,0,0,0,0,0
gray_0,1,0,0,0,0,0,0,0
red_0,2,0,0,0,0,0,0,0
green_0,3,0,0,0,0,0,0,0
blue_0,4,0,0,0,0,0,0,0
gray_1,1,1,33,36,33,0,0,0
red_1,2,1,33,0,0,0,0,0
green_1,3,1,0,36,0,0,0,0
blue_1,4,1,0,0,33,0,0,0
gray_2,1,2,74,73,74,0,5,22
red_2,2,2,74,0,0,0,0,0
green_2,3,2,0,73,0,0,0,0
blue_2,4,2,0,0,74,0,0,28
gray_3,1,3,107,109,107,0,50,93
red_3,2,3,107,0,0,3,0,0
green_3,3,3,0,109,0,0,17,0
blue_3,4,3,0,0,107,0,5,103
gray_4,1,4,148,146,148,17,101,152
red_4,2,4,148,0,0,40,0,0
green_4,3,4,0,146,0,0,62,0
blue_4,4,4,0,0,148,0,33,165
gray_5,1,5,181,182,181,43,134,184
red_5,2,5,181,0,0,74,0,0
green_5,3,5,0,182,0,0,92,7
blue_5,4,5,0,0,181,0,58,195
gray_6,1,6,222,219,222,79,162,217
red_6,2,6,222,0,0,116,0,0
green_6,3,6,0,219,0,0,119,23
blue_6,4,6,0,0,222,0,87,229
gray_7,1,7,255,255,255,92,181,239
red_7,2,7,255,0,0,137,0,0
green_7,3,7,0,255,0,0,138,42
blue_7,4,7,0,0,255,0,106,252
